date,confirmed_cases,new_confirmed_cases,device_count,distance_traveled_from_home,completely_home_device_count,median_home_dwell_time,median_non_home_dwell_time,median_percentage_time_home,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020/3/16,66,37,46850,3800.3741,16727,782.66268,68.839423,92,73.91,50.28,63.04,-19,12,-40,-29,-22,11
2020/3/17,95,30,56782,17154.107,21167,837.96225,56.945352,94,68.19,46.31,63.51,-24,8,-21,-30,-29,14
2020/3/18,126,26,62849,2225.0042,23616,834.17551,50.222708,94,63.35,42.19,59.28,-28,3,-12,-33,-33,16
2020/3/19,198,57,98323,5649.2786,36573,775.18502,52.76029,94,59.1,36.73,53.2,-32,3,-30,-39,-35,18
2020/3/20,253,54,109050,7938.2361,45857,648.83061,32.423512,95,56.79,33.16,53.02,-40,-5,-29,-44,-41,22
2020/3/21,319,66,115636,3681.1971,55278,644.20589,20.854024,97,47.54,27.5,52.41,-48,-13,-28,-46,-34,18
2020/3/22,369,58,132163,2364.1875,60462,812.30997,27.89954,97,36.18,23.56,39.64,-52,-26,-36,-54,-38,16
2020/3/23,475,106,151231,2701.5456,62886,830.1217,39.750481,95,45.99,30.78,46.69,-42,-19,-32,-49,-47,22
2020/3/24,597,120,169896,2319.0858,73802,860.51041,37.44031,96,46.25,29.21,46.49,-43,-20,-34,-50,-49,23
2020/3/25,741,147,187120,1992.0735,75953,861.22926,44.287548,95,46,28.44,46.4,-43,-20,-34,-50,-49,23
2020/3/26,1061,311,185209,3507.2618,80699,911.51097,37.727032,96,46.38,27.09,46.12,-43,-20,-35,-51,-50,24
2020/3/27,1245,261,196400,1084.9024,85980,944.63752,42.888513,96,51.27,27.99,50.01,-45,-19,-34,-51,-49,25
2020/3/28,1550,308,202804,4262.7731,90311,1029.9323,35.812769,97,43.19,23.33,47.22,-50,-21,-52,-52,-39,20
2020/3/29,1819,269,204676,3968.8389,97161,1058.3071,31.726352,97,34.94,21.78,39.9,-51,-27,-48,-54,-41,17
2020/3/30,2110,296,216795,1912.408,98337,893.09163,37.472999,96,44.97,27.76,47.19,-42,-23,-34,-52,-51,22
2020/3/31,2546,437,222786,1968.3555,100572,907.17685,39.302918,96,45.54,26.68,46.51,-42,-22,-38,-50,-51,23
2020/4/1,3007,438,262973,2658.0654,126711,917.91817,18.631889,98,46.7,26.25,48.68,-41,-18,-34,-49,-52,23
2020/4/2,3422,417,264370,2912.0601,127915,927.30179,19.157975,98,45.87,25.76,47.22,-43,-19,-39,-52,-52,25
2020/4/3,3931,531,264255,1057.9531,121930,891.43858,20.858621,98,52.04,26.3,52.6,-43,-15,-38,-51,-51,25
2020/4/4,4565,621,260478,3416.2543,126645,983.51923,16.736722,98,44.77,22.14,48.28,-50,-20,-54,-51,-41,20
2020/4/5,5084,605,256381,1469.9782,133474,1066.0579,13.760325,99,33.92,19.22,36.02,-53,-27,-59,-57,-43,17
2020/4/6,5567,449,248299,3987.5169,129659,988.62753,14.918324,99,40.81,21.76,37.63,-49,-27,-58,-59,-54,25
2020/4/7,6113,530,247459,1174.8305,128700,996.71921,15.853094,98,41.36,22.16,38.13,-51,-30,-58,-58,-54,26
2020/4/8,6604,498,248920,573.40123,123641,994.88036,16.411212,98,42.38,21.82,41.92,-49,-27,-51,-57,-55,26
2020/4/9,6614,32,249098,1498.4094,132082,1009.5752,14.951199,99,40.85,19.1,35.31,-55,-34,-69,-65,-57,29
2020/4/10,7579,947,247763,801.41368,117048,976.19272,18.409278,98,48.47,21.7,45.5,-49,-22,-55,-58,-57,29
2020/4/11,8016,447,249546,3670.3683,118877,1036.537,16.937069,98,46.57,21.66,50.85,-51,-19,-54,-52,-43,20
2020/4/12,8193,238,238250,4001.9259,135013,1133.8334,13.587916,99,30.88,17.8,31.73,-64,-38,-69,-60,-46,18
2020/4/13,8511,298,235925,590.49636,115836,996.40904,19.283344,98,44.59,23.47,44.12,-47,-28,-47,-54,-51,23
2020/4/14,9104,540,233158,3920.5567,108291,1030.1028,22.279338,98,47.28,23.76,48.69,-45,-25,-38,-51,-51,24
2020/4/15,9529,432,235100,579.63305,105100,1021.2136,23.628264,98,50.4,24.21,51.17,-47,-21,-36,-50,-51,24
2020/4/16,9726,344,230642,585.21124,105727,994.18448,23.923847,98,50.79,23.78,51.17,-55,-20,-38,-51,-51,24
2020/4/17,10418,571,227117,584.72913,100726,991.98707,26.838387,97,56.06,23.98,54.26,-56,-19,-42,-52,-50,25
2020/4/18,10943,562,226389,3786.3584,107435,1053.3495,20.555795,98,50.5,21.05,52.17,-59,-21,-56,-50,-38,19
2020/4/19,11258,289,229865,3752.6435,118506,1106.0835,17.35007,98,41.8,20.25,44.5,-60,-25,-50,-53,-39,16
2020/4/20,12456,1198,245449,809.39547,110080,938.69026,21.048792,98,51.13,25.8,52.06,-54,-22,-38,-50,-49,22
2020/4/21,13940,1488,255712,926.60985,115504,920.79729,23.974795,97,51.43,24.82,51.61,-54,-21,-35,-51,-50,23
2020/4/22,15145,1207,257399,997.25903,111378,910.51077,25.645744,97,53.78,24.93,53.91,-54,-20,-33,-51,-50,23
2020/4/23,16102,957,252263,830.83177,107016,882.69201,25.644922,97,55.45,25.19,54.66,-54,-19,-35,-51,-51,24
2020/4/24,16777,863,248190,780.46116,107479,888.53882,28.24808,97,62.76,25.85,60.69,-54,-16,-37,-51,-49,24
2020/4/25,17500,540,246672,3909.5027,112549,968.8582,24.00499,98,58.24,23.52,60.26,-57,-16,-48,-48,-37,17
2020/4/26,17737,396,237863,3567.0248,109722,1022.9521,18.83118,98,47.3,21.48,48.41,-57,-21,-45,-52,-39,15
2020/4/27,18714,848,242074,569.72788,110777,911.30731,25.891578,97,54.68,26.14,54.81,-52,-19,-32,-49,-48,21
2020/4/28,19278,558,240559,1148.5527,105808,891.51236,27.752064,97,56.89,27.27,56.16,-52,-18,-32,-48,-49,14
2020/4/29,20350,1168,238741,1173.1886,102861,849.52924,27.086725,97,57.52,26.49,55.92,-50,-19,-34,-49,-49,22
2020/4/30,20472,39,233429,568.30456,98957,817.39793,30.464642,96,60.37,26.73,59.08,-48,-16,-33,-48,-50,22
2020/5/1,22384,1920,263493,2103.2271,116383,846.39537,15.06969,98,68.53,28.52,66.7,-48,-12,-30,-46,-48,23
2020/5/2,23004,628,251333,1561.5482,112992,947.01605,11.211981,99,63.88,25.62,65.73,-51,-11,-41,-43,-35,16
2020/5/3,23695,696,241729,1369.416,119889,1036.1706,6.0540894,99,52.2,23.45,54.15,-51,-17,-35,-47,-34,13
2020/5/4,24142,451,254328,2026.822,116154,905.07812,11.998242,99,60.98,28.56,62.18,-46,-15,-26,-46,-46,19
2020/5/5,25733,1594,255003,2069.802,115595,895.44867,13.532225,99,64.24,28.34,64.02,-46,-11,-25,-45,-47,20
2020/5/6,26534,805,263101,2533.2119,120924,887.88321,13.944534,98,64.21,28.85,63.69,-47,-14,-26,-47,-48,21
2020/5/7,27328,802,263147,2687.4631,119051,882.88267,15.535331,98,66.74,28.59,65.65,-46,-12,-26,-47,-48,21
2020/5/8,27957,637,254775,2323.1428,108975,862.63902,20.712624,98,79.04,30.79,76.98,-46,-8,-23,-45,-46,21
2020/5/9,28850,896,254329,2031.4344,104865,895.19549,19.258649,98,76.7,27.25,80.87,-47,1,-32,-39,-32,14
2020/5/10,29262,412,252859,2407.1552,108205,946.03238,16.453802,98,60.36,23.06,60.53,-48,-4,-30,-40,-31,10
2020/5/11,29823,561,257595,2411.3108,121459,897.60566,14.368737,98,60.36,23.06,60.53,-46,-18,-20,-46,-45,19
2020/5/12,30824,1003,255155,2346.5191,112960,900.38789,16.106833,98,69.97,29.9,72.19,-46,-14,-21,-45,-46,20
2020/5/13,32098,1274,252518,2148.5608,109127,886.14782,18.328756,98,69.97,29.9,72.19,-45,-14,-16,-44,-46,20
2020/5/14,32929,833,248382,2671.3007,109390,890.99154,2.7344131,100,72.93,29.46,74.8,,,,,,
2020/5/15,33041,112,253217,2663.5945,101293,843.49036,25.290896,97,85.18,31.91,87.97,,,,,,
2020/5/16,34831,1804,252678,2489.1981,104434,901.0865,21.032883,98,81.94,28.61,88.75,,,,,,
2020/5/17,35443,620,261314,2485.016,124117,957.46127,10.412503,99,66.97,26.12,72.61,,,,,,
2020/5/18,35902,463,267341,2477.0943,121181,864.11885,13.958042,98,70.42,29.98,70.38,,,,,,
2020/5/19,36935,1043,264742,2309.7146,116909,860.13436,17.313622,98,76.6,31.55,79.23,,,,,,
2020/5/20,37053,118,267783,2374.154,114655,838.78861,20.382399,98,79.43,32.3,81.75,,,,,,
2020/5/21,39219,2172,268623,2409.2135,112753,819.36959,21.749507,97,82.49,32.98,83.55,,,,,,
2020/5/22,40153,946,273188,2932.5985,108536,799.0264,28.723886,97,95.27,34.91,95.6,,,,,,
2020/5/23,41236,1090,270419,2987.5555,108733,852.77129,23.195045,97,86.97,31.04,94.4,,,,,,
2020/5/24,42114,882,265430,2648.0375,110454,887.70625,19.001386,98,74.8,27.74,81.16,,,,,,
2020/5/25,39788,845,260578,2509.8027,115726,887.18465,14.342622,98,70.66,30.58,78.24,,,,,,
2020/5/26,44886,1938,269531,2350.8358,109300,796.91979,23.674634,97,82.46,35.85,84.2,,,,,,
2020/5/27,45832,951,262839,2466.4797,108434,822.15004,25.699287,97,84.89,36.06,86.29,,,,,,